"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 148 200 10 100
"glasso" 1 "FP" 8 200 10 100
"glasso" 1 "FN" 0 200 10 100
"glasso" 1 "TN" 4794 200 10 100
"glasso" 1 "Pre" 0.948717948717949 200 10 100
"glasso" 1 "TPR" 1 200 10 100
"glasso" 1 "MCC" 0.973209849258762 200 10 100
"glasso" 1 "FDR" 0.0512820512820513 200 10 100
"glasso" 1 "FPR" 0.00166597251145356 200 10 100
"glasso" 1 "F1" 0.973684210526316 200 10 100
"glasso" 1 "JI" 0.948717948717949 200 10 100
"glasso" 1 "ED" 8 200 10 100
"glasso" 1 "TP" 148 200 10 100
"glasso" 1 "FP" 8 200 10 100
"glasso" 1 "FN" 0 200 10 100
"glasso" 1 "TN" 4794 200 10 100
"glasso" 1 "Pre" 0.948717948717949 200 10 100
"glasso" 1 "TPR" 1 200 10 100
"glasso" 1 "MCC" 0.973209849258762 200 10 100
"glasso" 1 "FDR" 0.0512820512820513 200 10 100
"glasso" 1 "FPR" 0.00166597251145356 200 10 100
"glasso" 1 "F1" 0.973684210526316 200 10 100
"glasso" 1 "JI" 0.948717948717949 200 10 100
"glasso" 1 "ED" 8 200 10 100
"glasso" 1 "TP" 148 200 10 100
"glasso" 1 "FP" 8 200 10 100
"glasso" 1 "FN" 0 200 10 100
"glasso" 1 "TN" 4794 200 10 100
"glasso" 1 "Pre" 0.948717948717949 200 10 100
"glasso" 1 "TPR" 1 200 10 100
"glasso" 1 "MCC" 0.973209849258762 200 10 100
"glasso" 1 "FDR" 0.0512820512820513 200 10 100
"glasso" 1 "FPR" 0.00166597251145356 200 10 100
"glasso" 1 "F1" 0.973684210526316 200 10 100
"glasso" 1 "JI" 0.948717948717949 200 10 100
"glasso" 1 "ED" 8 200 10 100
"glasso" 1 "TP" 148 200 10 100
"glasso" 1 "FP" 8 200 10 100
"glasso" 1 "FN" 0 200 10 100
"glasso" 1 "TN" 4794 200 10 100
"glasso" 1 "Pre" 0.948717948717949 200 10 100
"glasso" 1 "TPR" 1 200 10 100
"glasso" 1 "MCC" 0.973209849258762 200 10 100
"glasso" 1 "FDR" 0.0512820512820513 200 10 100
"glasso" 1 "FPR" 0.00166597251145356 200 10 100
"glasso" 1 "F1" 0.973684210526316 200 10 100
"glasso" 1 "JI" 0.948717948717949 200 10 100
"glasso" 1 "ED" 8 200 10 100
"glasso" 1 "TP" 148 200 10 100
"glasso" 1 "FP" 8 200 10 100
